owner,family,generated,Syncs,intensity,codes,Lagged,pattern_names,names
indolem,indolem_indobert,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
Qwen,Qwen_Qwen1,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
CAMeL-Lab,CAMeL-Lab_bert,automatic,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
google,google_tapas,automatic,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
beomi,beomi_ko,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
IDEA-CCNL,IDEA-CCNL_Erlangshen,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
nickprock,nickprock_sentence-bert,automatic,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
setu4993,setu4993_LaBSE,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
neuralmagic,neuralmagic_bge,automatic,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
bigcode,bigcode_starcoder2,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
Qwen,Qwen_Qwen2,automatic,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
HooshvareLab,HooshvareLab_bert,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
tuner007,tuner007_pegasus_paraphrase,automatic,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
persiannlp,persiannlp_mt5,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
internlm,internlm_internlm2,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
microsoft,microsoft_llmlingua,automatic,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
microsoft,microsoft_BiomedVLP,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
owkin,owkin_phikon,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
google,google_switch,automatic,VS,S,VSS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
NousResearch,NousResearch_Hermes-2,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
protectai,protectai_deberta,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
tugstugi,tugstugi_mongolian-bert,automatic,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
mosaicml,mosaicml_mpt,automatic,PS,F,PSF,Upstream First,Dense Partial Alignment Pattern,Dense Partial Alignment
yangheng,yangheng_absa-model,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
Vamsi,Vamsi_T5_Paraphrase,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
BM-K,BM-K_RoBERTa,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
HooshvareLab,HooshvareLab_parsbert,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
lmms-lab,lmms-lab_LLaVA,automatic,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
bergum,bergum_xtremedistil,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
csarron,csarron_mobilebert,automatic,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
openlm-research,openlm-research_open_llama,automatic,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
allenai,allenai_OLMo,automatic,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
ku-nlp,ku-nlp_deberta,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
grammarly,grammarly_coedit,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
EleutherAI,EleutherAI_polyglot,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
naver-clova-ocr,naver-clova-ocr_bros,automatic,PS,R,PSR,Downstream First,Sparse Alignment Pattern,Sparse Alignment
shenzhi-wang,shenzhi-wang_Llama3,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
THUDM,THUDM_cogvlm2,automatic,CS,S,CSS,No Lag,Intermittent Alignment Pattern,Intermittent Alignment
Qwen,Qwen_Qwen-Audio,automatic,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
klue,klue_bert,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
Dongjin-kr,Dongjin-kr_ko-reranker,automatic,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
pdelobelle,pdelobelle_robbert-v2,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
gradientai,gradientai_Llama,automatic,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
Helsinki-NLP,Helsinki-NLP_romance,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
dwzhu,dwzhu_e5,automatic,PS,R,PSR,Downstream First,Sparse Alignment Pattern,Sparse Alignment
yahma,yahma_llama,automatic,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
orgcatorg,orgcatorg_xlm-v,automatic,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
rinna,rinna_japanese-gpt,automatic,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
deepseek-ai,deepseek-ai_deepseek,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
m-a-p,m-a-p_OpenCodeInterpreter,automatic,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
nghuyong,nghuyong_ernie,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
GroNLP,GroNLP_bert,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
princeton-nlp,princeton-nlp_Sheared,automatic,CS,S,CSS,No Lag,Intermittent Alignment Pattern,Intermittent Alignment
basel,basel_ATTACK-BERT,automatic,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
asapp,asapp_sew,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
rinna,rinna_japanese-clip,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
defog,defog_sqlcoder,automatic,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
starmpcc,starmpcc_Asclepius,automatic,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
stabilityai,stabilityai_stablelm,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
THUDM,THUDM_cogvlm,automatic,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
Gryphe,Gryphe_MythoMax,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_wmt19,automatic,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
navteca,navteca_ms-marco,automatic,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
microsoft,microsoft_Multilingual,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
elastic,elastic_distilbert,automatic,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
PlanTL-GOB-ES,PlanTL-GOB-ES_roberta,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
snunlp,snunlp_KR-ELECTRA,automatic,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
nateraw,nateraw_bert,automatic,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
augmxnt,augmxnt_shisa,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
seyonec,seyonec_ChemBERTa,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
lordtt13,lordtt13_mobilebert,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
T-Systems-onsite,T-Systems-onsite_sentence-transformer,automatic,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
malteos,malteos_scincl,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
ehsanaghaei,ehsanaghaei_SecureBERT,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
togethercomputer,togethercomputer_Llama,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
allenai,allenai_specter2,automatic,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
SeaLLMs,SeaLLMs_SeaLLM,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
Langboat,Langboat_Mengzi3,automatic,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
42dot,42dot_42DOT-LLM,automatic,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
Hello-SimpleAI,Hello-SimpleAI_chatgpt,automatic,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
PrunaAI,PrunaAI_MaziyarPanahi,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
mistralai,mistralai_codestral,automatic,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
unum-cloud,unum-cloud_uform3,automatic,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
stabilityai,stabilityai_StableBeluga,automatic,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
l3cube-pune,l3cube-pune_marathiNLP,automatic,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
togethercomputer,togethercomputer_GPT,automatic,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
swap-uniba,swap-uniba_LLaMAntino,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
McGill-NLP,McGill-NLP_LLM2Vec,automatic,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
google,google_reformer,automatic,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
EleutherAI,EleutherAI_llemma,automatic,PS,R,PSR,Downstream First,Sparse Alignment Pattern,Sparse Alignment
TurkuNLP,TurkuNLP_bert,automatic,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
jinmang2,jinmang2_kpfbert,automatic,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
blanchefort,blanchefort_rubert,automatic,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
Nexusflow,Nexusflow_NexusRaven,automatic,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
neuralmagic,neuralmagic_TinyLlama,automatic,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
stabilityai,stabilityai_japanese-stablelm,automatic,PS,R,PSR,Downstream First,Sparse Alignment Pattern,Sparse Alignment
facebook,facebook_dragon,automatic,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
TIGER-Lab,TIGER-Lab_MAmmoTH2,automatic,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
Muennighoff,Muennighoff_SGPT,automatic,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
af1tang,af1tang_PERSONALGPT,automatic,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
